"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
30670001,-158,-76,"Conor Ryan via Happywhale.com","Balaenoptera musculus","1760","2026-02-07","2026-02-07",2,0,1,,,,"5715:468","POLYGON((-158 -76,-158 -77,-159 -77,-159 -76,-158 -76))"
30670000,-146,-74,"Kristin Adelsberger via Happywhale.com","Balaenoptera musculus","1760","2024-02-11","2024-02-11",1,0,1,,,,"5714:245","POLYGON((-145 -74,-145 -75,-146 -75,-146 -74,-145 -74))"
30669998,-133,-72,"Jamie Coleman via Happywhale.com","Balaenoptera musculus","1760","2024-02-17","2024-02-17",3,0,1,,,,"5713:122","POLYGON((-132 -72,-132 -73,-133 -73,-133 -72,-132 -72))"
30669999,-138,-74,"Joel Moore via Happywhale.com","Balaenoptera musculus","1760","2024-02-19","2024-02-19",1,0,1,,,,"5713:238","POLYGON((-138 -73,-138 -74,-139 -74,-139 -73,-138 -73))"
20433556,-176,-65,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1911-12-27","1911-12-27",1,,1,,,,"5617:245","POLYGON((-175 -64,-175 -65,-176 -65,-176 -64,-175 -64))"
30670002,-175,-71,"Jamie Coleman via Happywhale.com","Balaenoptera musculus","1760","2026-02-09","2026-02-09",2,0,1,,,,"5717:114","POLYGON((-174 -71,-174 -72,-175 -72,-175 -71,-174 -71))"
20433597,-166,-79,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1911-02-01","1911-02-01",1,,1,,,,"5716:486","POLYGON((-166 -78,-166 -79,-167 -79,-167 -78,-166 -78))"
20433607,-171,-79,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1911-01-31","1911-01-31",1,,1,,,,"5717:380","POLYGON((-170 -78,-170 -79,-171 -79,-171 -78,-170 -78))"
20433602,-172,-78,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1911-02-06","1911-02-06",1,,1,,,,"5717:372","POLYGON((-172 -77,-172 -78,-173 -78,-173 -77,-172 -77))"
20433599,-172,-72,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1912-01-05","1912-01-05",1,,1,,,,"5717:122","POLYGON((-172 -72,-172 -73,-173 -73,-173 -72,-172 -72))"
20433600,-173,-73,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1913-01-14","1913-01-14",1,,1,,,,"5717:123","POLYGON((-173 -72,-173 -73,-174 -73,-174 -72,-173 -72))"
30670004,-179,-71,"Aurora Expeditions Douglas Mawson via Happywhale.com","Balaenoptera musculus","1760","2026-01-25","2026-01-25",1,0,1,,,,"5717:219","POLYGON((-179 -71,-179 -72,-180 -72,-180 -71,-179 -71))"
30670003,-179,-71,"Nicole Corrigan via Happywhale.com","Balaenoptera musculus","1760","2026-01-13","2026-01-13",2,0,1,,,,"5717:208","POLYGON((-178 -70,-178 -71,-179 -71,-179 -70,-178 -70))"
20433584,-178,-69,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1910-12-24","1910-12-26",3,,1,,,,"5617:498","POLYGON((-178 -69,-178 -70,-179 -70,-179 -69,-178 -69))"
20568978,-177,-69,"David Bowden, NIWA;Rochelle Constantine, University of Auckland","Balaenoptera musculus","103152542","2018-03-03","2018-03-03",1,1,1,,,,"5617:497","POLYGON((-177 -69,-177 -70,-178 -70,-178 -69,-177 -69))"
20433575,-178,-68,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1910-12-19","1910-12-19",1,,1,,,,"5617:478","POLYGON((-178 -67,-178 -68,-179 -68,-179 -67,-178 -67))"
20568966,-176,-67,"David Bowden, NIWA;Rochelle Constantine, University of Auckland","Balaenoptera musculus","103152542","2018-03-08","2018-03-08",1,3,1,,,,"5617:466","POLYGON((-176 -66,-176 -67,-177 -67,-177 -66,-176 -66))"
20433561,-178,-65,"Kevin Mackay, NIWA","Balaenoptera musculus","103152363","1910-12-09","1910-12-09",1,,1,,,,"5617:457","POLYGON((-177 -65,-177 -66,-178 -66,-178 -65,-177 -65))"
